itemtabelle_20220214(18.54)_GR01+GR04;;;;;;;;;;
item;target;kontext;frage;A1;A2;A3;A4;A5;A6;comments
37;lorem impsum TARGET;lorem ipsum KONTEXT;lorem ipsum FRAGE;lorem ipsum A1;lorem ipsum A2;lorem ipsum A3;lorem ipsum A4;lorem ipsum A5;lorem ipsum A6;
38;lorem impsum TARGET;lorem ipsum KONTEXT;lorem ipsum FRAGE;lorem ipsum A1;lorem ipsum A2;lorem ipsum A3;lorem ipsum A4;lorem ipsum A5;lorem ipsum A6;
39;lorem impsum TARGET;lorem ipsum KONTEXT;lorem ipsum FRAGE;lorem ipsum A1;lorem ipsum A2;lorem ipsum A3;lorem ipsum A4;lorem ipsum A5;lorem ipsum A6;
40;lorem impsum TARGET;lorem ipsum KONTEXT;lorem ipsum FRAGE;lorem ipsum A1;lorem ipsum A2;lorem ipsum A3;lorem ipsum A4;lorem ipsum A5;lorem ipsum A6;
41;lorem impsum TARGET;lorem ipsum KONTEXT;lorem ipsum FRAGE;lorem ipsum A1;lorem ipsum A2;lorem ipsum A3;lorem ipsum A4;lorem ipsum A5;lorem ipsum A6;
42;lorem impsum TARGET;lorem ipsum KONTEXT;lorem ipsum FRAGE;lorem ipsum A1;lorem ipsum A2;lorem ipsum A3;lorem ipsum A4;lorem ipsum A5;lorem ipsum A6;
43;lorem impsum TARGET;lorem ipsum KONTEXT;lorem ipsum FRAGE;lorem ipsum A1;lorem ipsum A2;lorem ipsum A3;lorem ipsum A4;lorem ipsum A5;lorem ipsum A6;
44;lorem impsum TARGET;lorem ipsum KONTEXT;lorem ipsum FRAGE;lorem ipsum A1;lorem ipsum A2;lorem ipsum A3;lorem ipsum A4;lorem ipsum A5;lorem ipsum A6;
45;lorem impsum TARGET;lorem ipsum KONTEXT;lorem ipsum FRAGE;lorem ipsum A1;lorem ipsum A2;lorem ipsum A3;lorem ipsum A4;lorem ipsum A5;lorem ipsum A6;
46;lorem impsum TARGET;lorem ipsum KONTEXT;lorem ipsum FRAGE;lorem ipsum A1;lorem ipsum A2;lorem ipsum A3;lorem ipsum A4;lorem ipsum A5;lorem ipsum A6;
47;lorem impsum TARGET;lorem ipsum KONTEXT;lorem ipsum FRAGE;lorem ipsum A1;lorem ipsum A2;lorem ipsum A3;lorem ipsum A4;lorem ipsum A5;lorem ipsum A6;
48;lorem impsum TARGET;lorem ipsum KONTEXT;lorem ipsum FRAGE;lorem ipsum A1;lorem ipsum A2;lorem ipsum A3;lorem ipsum A4;lorem ipsum A5;lorem ipsum A6;
49;lorem impsum TARGET;lorem ipsum KONTEXT;lorem ipsum FRAGE;lorem ipsum A1;lorem ipsum A2;lorem ipsum A3;lorem ipsum A4;lorem ipsum A5;lorem ipsum A6;
50;lorem impsum TARGET;lorem ipsum KONTEXT;lorem ipsum FRAGE;lorem ipsum A1;lorem ipsum A2;lorem ipsum A3;lorem ipsum A4;lorem ipsum A5;lorem ipsum A6;
51;lorem impsum TARGET;lorem ipsum KONTEXT;lorem ipsum FRAGE;lorem ipsum A1;lorem ipsum A2;lorem ipsum A3;lorem ipsum A4;lorem ipsum A5;lorem ipsum A6;
52;lorem impsum TARGET;lorem ipsum KONTEXT;lorem ipsum FRAGE;lorem ipsum A1;lorem ipsum A2;lorem ipsum A3;lorem ipsum A4;lorem ipsum A5;lorem ipsum A6;
53;lorem impsum TARGET;lorem ipsum KONTEXT;lorem ipsum FRAGE;lorem ipsum A1;lorem ipsum A2;lorem ipsum A3;lorem ipsum A4;lorem ipsum A5;lorem ipsum A6;
54;lorem impsum TARGET;lorem ipsum KONTEXT;lorem ipsum FRAGE;lorem ipsum A1;lorem ipsum A2;lorem ipsum A3;lorem ipsum A4;lorem ipsum A5;lorem ipsum A6;
55;lorem impsum TARGET;lorem ipsum KONTEXT;lorem ipsum FRAGE;lorem ipsum A1;lorem ipsum A2;lorem ipsum A3;lorem ipsum A4;lorem ipsum A5;lorem ipsum A6;
56;lorem impsum TARGET;lorem ipsum KONTEXT;lorem ipsum FRAGE;lorem ipsum A1;lorem ipsum A2;lorem ipsum A3;lorem ipsum A4;lorem ipsum A5;lorem ipsum A6;
57;lorem impsum TARGET;lorem ipsum KONTEXT;lorem ipsum FRAGE;lorem ipsum A1;lorem ipsum A2;lorem ipsum A3;lorem ipsum A4;lorem ipsum A5;lorem ipsum A6;
58;lorem impsum TARGET;lorem ipsum KONTEXT;lorem ipsum FRAGE;lorem ipsum A1;lorem ipsum A2;lorem ipsum A3;lorem ipsum A4;lorem ipsum A5;lorem ipsum A6;
59;lorem impsum TARGET;lorem ipsum KONTEXT;lorem ipsum FRAGE;lorem ipsum A1;lorem ipsum A2;lorem ipsum A3;lorem ipsum A4;lorem ipsum A5;lorem ipsum A6;
60;lorem impsum TARGET;lorem ipsum KONTEXT;lorem ipsum FRAGE;lorem ipsum A1;lorem ipsum A2;lorem ipsum A3;lorem ipsum A4;lorem ipsum A5;lorem ipsum A6;
61;lorem impsum TARGET;lorem ipsum KONTEXT;lorem ipsum FRAGE;lorem ipsum A1;lorem ipsum A2;lorem ipsum A3;lorem ipsum A4;lorem ipsum A5;lorem ipsum A6;
62;lorem impsum TARGET;lorem ipsum KONTEXT;lorem ipsum FRAGE;lorem ipsum A1;lorem ipsum A2;lorem ipsum A3;lorem ipsum A4;lorem ipsum A5;lorem ipsum A6;
63;lorem impsum TARGET;lorem ipsum KONTEXT;lorem ipsum FRAGE;lorem ipsum A1;lorem ipsum A2;lorem ipsum A3;lorem ipsum A4;lorem ipsum A5;lorem ipsum A6;
64;lorem impsum TARGET;lorem ipsum KONTEXT;lorem ipsum FRAGE;lorem ipsum A1;lorem ipsum A2;lorem ipsum A3;lorem ipsum A4;lorem ipsum A5;lorem ipsum A6;
